x,y,z
20565,34920,67070
20620,34903,67070
20652,34920,67070
20742,34900,67070
20791,34907,67070
20917,34924,67070
20983,34914,67070
21282,34935,67070
21357,34930,67070
21411,34880,67070
21395,34930,67070
21615,34921,67070
22020,34935,67070
22574,34902,67070
22636,34930,67070
23861,34918,67070
24931,34920,67070
25018,34913,67070
25958,34926,67070
26008,34889,67070
26074,34893,67070
26106,34926,67070
26064,34930,67070
26145,34924,67070
26245,34940,67070
26520,34912,67070
26600,34887,67070
19635,34979,67070
19680,34968,67070
19702,34954,67070
19748,34954,67070
19799,34964,67070
19861,34965,67070
20043,34986,67070
20093,34954,67070
20204,34989,67070
20269,34969,67070
20388,34945,67070
20400,35004,67070
20445,34986,67070
20496,34954,67070
20529,34953,67070
20521,34991,67070
20622,34994,67070
20738,34947,67070
20847,34951,67070
20948,34975,67070
21120,35001,67070
21156,34971,67070
21221,34963,67070
21288,34973,67070
21327,34971,67070
21366,34961,67070
21340,34950,67070
21408,34976,67070
21885,34996,67070
22214,34952,67070
22396,34957,67070
22460,34987,67070
22535,34976,67070
24227,34952,67070
24404,34986,67070
24494,35002,67070
25007,34967,67070
25443,34945,67070
25631,34953,67070
25611,35004,67070
25664,34998,67070
26005,34959,67070
26072,34981,67070
26156,34982,67070
26130,34961,67070
26189,35004,67070
26195,34945,67070
26230,34967,67070
26333,34986,67070
26481,34966,67070
26589,34987,67070
26728,34961,67070
19413,35050,67070
19556,35019,67070
19656,35020,67070
19744,35018,67070
20118,35021,67070
20173,35071,67070
20346,35069,67070
20433,35033,67070
20504,35034,67070
20769,35013,67070
20787,35068,67070
20736,35070,67070
20886,35028,67070
20939,35041,67070
20989,35025,67070
21109,35057,67070
21151,35016,67070
21226,35061,67070
21225,35031,67070
21191,35046,67070
21318,35037,67070
21423,35010,67070
22299,35057,67070
22463,35053,67070
23944,35064,67070
24548,35029,67070
24625,35009,67070
24726,35021,67070
24885,35038,67070
25081,35038,67070
25704,35060,67070
25774,35063,67070
25756,35025,67070
25796,35032,67070
25831,35017,67070
25819,35060,67070
25903,35031,67070
25981,35014,67070
26020,35043,67070
26106,35062,67070
26136,35016,67070
26626,35038,67070
26847,35034,67070
19286,35085,67070
19664,35113,67070
19672,35078,67070
19926,35079,67070
20092,35105,67070
20150,35103,67070
20221,35112,67070
20251,35096,67070
20445,35118,67070
20571,35119,67070
20685,35103,67070
20849,35101,67070
21001,35131,67070
21029,35079,67070
21068,35120,67070
21108,35119,67070
21166,35082,67070
21237,35089,67070
21265,35105,67070
21370,35087,67070
21330,35103,67070
21347,35130,67070
21393,35127,67070
21423,35108,67070
21403,35078,67070
21480,35088,67070
21660,35086,67070
21762,35115,67070
21847,35083,67070
22133,35125,67070
24287,35080,67070
24442,35095,67070
24537,35106,67070
24603,35078,67070
25247,35127,67070
25594,35076,67070
25647,35105,67070
25714,35122,67070
25762,35113,67070
25817,35101,67070
25974,35078,67070
26016,35123,67070
26202,35075,67070
26255,35108,67070
26302,35112,67070
26344,35098,67070
26419,35075,67070
26525,35103,67070
26634,35110,67070
26726,35079,67070
19066,35140,67070
19664,35167,67070
19746,35183,67070
19775,35152,67070
20079,35190,67070
20127,35173,67070
20193,35158,67070
20260,35142,67070
20266,35186,67070
20318,35151,67070
20382,35149,67070
20679,35156,67070
20719,35136,67070
20772,35144,67070
20965,35185,67070
21052,35184,67070
21098,35150,67070
21185,35145,67070
21288,35163,67070
21403,35187,67070
21486,35143,67070
21452,35153,67070
21463,35192,67070
21727,35177,67070
21770,35163,67070
22308,35153,67070
22407,35163,67070
23962,35164,67070
24083,35182,67070
24171,35137,67070
24337,35183,67070
24590,35182,67070
25757,35170,67070
25837,35144,67070
25891,35147,67070
25948,35180,67070
26028,35182,67070
26136,35148,67070
26332,35143,67070
26385,35161,67070
26573,35186,67070
26680,35158,67070
26797,35159,67070
19255,35210,67070
19675,35227,67070
19703,35201,67070
19733,35231,67070
19858,35208,67070
19992,35242,67070
20079,35247,67070
20141,35235,67070
20200,35255,67070
20220,35216,67070
20266,35227,67070
20239,35251,67070
20309,35209,67070
20346,35212,67070
20449,35226,67070
20594,35222,67070
20549,35242,67070
20657,35202,67070
20627,35255,67070
20734,35205,67070
20825,35216,67070
20929,35236,67070
20989,35253,67070
21053,35261,67070
21095,35248,67070
21133,35220,67070
21165,35213,67070
21163,35248,67070
21199,35223,67070
21238,35254,67070
21279,35251,67070
21350,35232,67070
21428,35237,67070
21472,35244,67070
21587,35206,67070
22330,35260,67070
23217,35252,67070
24214,35251,67070
24280,35252,67070
24334,35257,67070
24449,35217,67070
24707,35210,67070
24893,35254,67070
25800,35244,67070
25868,35204,67070
25949,35252,67070
26010,35257,67070
26003,35220,67070
26059,35227,67070
26105,35258,67070
26246,35238,67070
26574,35254,67070
26644,35223,67070
26709,35217,67070
26761,35246,67070
27459,35229,67070
18969,35301,67070
19235,35310,67070
19479,35290,67070
